handle,snapshot_date,current_rating,solve_rate_per_week,tag_diversity,avg_problem_rating,contest_frequency,consistency_score,weak_tag_count,label_3m,label_6m,rating_bucket,rating_change_3m
mohitiit651,2021-05-02,971,4.46,24,1066.9,3.67,0.591,0,1125,1243,800-1200,154
mohitiit651,2021-06-20,993,6.33,30,1111.1,6.0,0.606,0,1202,1187,800-1200,209
mohitiit651,2021-08-26,1081,6.11,31,1106.7,5.0,0.603,0,1145,1055,800-1200,64
Lazy.__.Coder,2025-09-15,1065,11.38,20,897.5,1.67,0.43,0,944,1202,800-1200,-121
sujansinht32,2024-02-13,825,1.32,19,977.8,1.33,0.676,0,989,1045,800-1200,164
sujansinht32,2024-03-19,952,2.33,20,965.2,5.67,0.642,0,970,978,800-1200,18
sujansinht32,2024-05-10,991,3.51,22,972.7,9.0,0.616,0,1084,934,800-1200,93
sujansinht32,2024-07-07,944,3.87,23,957.0,6.67,0.616,0,997,936,800-1200,53
sujansinht32,2024-08-15,954,4.67,27,947.4,8.0,0.609,0,934,951,800-1200,-20
rZwols,2025-10-17,1060,1.72,19,888.5,1.0,0.571,0,967,898,800-1200,-93
rZwols,2026-01-07,1020,1.29,20,905.6,0.67,0.575,1,898,1130,800-1200,-122
MadKakashi,2023-03-02,961,2.93,16,873.6,0.33,0.569,0,980,980,800-1200,19
MadKakashi,2023-09-10,980,2.01,18,900.7,0.0,0.563,0,952,952,800-1200,-28
MadKakashi,2023-09-11,957,2.01,18,900.7,0.33,0.563,0,952,952,800-1200,-5
MadKakashi,2023-10-09,855,1.92,18,900.0,0.67,0.561,0,952,952,800-1200,97
ano_rohit,2026-01-25,1011,1.45,13,888.9,1.67,0.616,0,1086,1124,800-1200,75
ano_rohit,2026-02-15,1067,2.72,19,961.9,3.0,0.629,0,1085,1124,800-1200,18
ano_rohit,2026-02-26,944,3.35,20,947.4,4.33,0.639,0,1208,1124,800-1200,264
ano_rohit,2026-03-16,959,4.14,20,937.0,5.67,0.649,0,1130,1124,800-1200,171
ano_rohit,2026-04-04,995,5.03,25,965.5,7.0,0.633,0,1124,1124,800-1200,129
Bido_,2023-09-21,915,2.34,16,948.1,1.67,0.588,0,903,979,800-1200,-12
Bido_,2023-11-24,916,3.61,18,902.7,2.67,0.58,0,955,1028,800-1200,39
Bido_,2024-01-06,981,4.02,20,919.7,2.33,0.594,0,959,1106,800-1200,-22
Bido_,2024-02-13,981,4.09,21,919.6,3.67,0.59,0,987,1293,800-1200,6
Bido_,2024-03-01,919,4.37,22,945.0,4.67,0.588,0,1028,1297,800-1200,109
deepanshu27nit,2025-03-10,995,1.39,12,823.3,1.33,0.568,0,1063,1021,800-1200,68
deepanshu27nit,2025-05-24,983,2.16,19,885.6,1.33,0.597,0,1001,1054,800-1200,18
deepanshu27nit,2025-06-12,1063,2.33,24,896.1,2.33,0.607,0,1021,979,800-1200,-42
deepanshu27nit,2025-07-27,975,2.31,24,906.0,3.0,0.622,0,1028,965,800-1200,53
deepanshu27nit,2025-08-28,1033,2.37,24,909.2,3.33,0.628,0,1054,965,800-1200,21
Saiiiiiimm,2025-02-02,781,0.92,16,862.5,1.67,1.0,0,665,570,<800,-116
Saiiiiiimm,2025-04-13,606,1.87,17,820.0,2.67,0.502,0,665,901,<800,59
Saiiiiiimm,2025-08-24,525,3.5,24,815.9,1.0,0.525,0,1067,1054,<800,542
Saiiiiiimm,2025-10-06,843,5.95,25,829.5,2.67,0.536,0,1055,1072,800-1200,212
Saiiiiiimm,2025-11-06,1012,6.46,27,849.0,4.0,0.529,1,1055,1072,800-1200,43
justmeshtic,2025-08-28,1005,0.17,12,846.2,1.0,0.7,0,1028,1040,800-1200,23
Kiran_516,2022-10-10,1095,0.8,13,855.6,1.0,0.618,0,1079,1087,800-1200,-16
Kiran_516,2022-10-11,1173,0.88,13,850.0,1.33,0.628,0,1079,1087,800-1200,-94
Kiran_516,2022-10-13,1138,1.0,13,847.8,1.67,0.644,0,1079,1087,800-1200,-59
Kiran_516,2022-12-15,1106,1.66,13,820.8,1.0,0.61,0,1051,1087,800-1200,-55
Kiran_516,2023-01-03,1089,1.76,13,819.7,1.33,0.613,0,1065,1087,800-1200,-24
mohddanish93543,2024-05-30,1017,0.98,11,843.8,0.33,0.66,0,1086,1110,800-1200,69
mohddanish93543,2024-05-31,982,1.16,11,857.9,0.67,0.696,0,1086,1110,800-1200,104
mohddanish93543,2024-06-06,981,1.39,12,866.7,1.0,0.706,0,1086,1110,800-1200,105
mohddanish93543,2024-06-11,990,1.78,13,878.1,1.33,0.629,0,1086,1110,800-1200,96
mohddanish93543,2024-07-07,1037,1.56,16,873.5,1.33,0.618,0,1086,1110,800-1200,49
MALEK_AOZON,2021-12-16,868,7.05,24,896.5,0.0,0.562,0,862,988,800-1200,-6
MALEK_AOZON,2022-04-21,992,7.69,28,937.3,2.67,0.561,0,871,1032,800-1200,-121
MALEK_AOZON,2022-07-16,1010,7.41,30,932.7,3.33,0.568,0,1048,950,800-1200,38
MALEK_AOZON,2022-12-16,1055,6.25,32,932.9,2.0,0.571,0,1076,1208,800-1200,21
MALEK_AOZON,2023-04-24,1234,6.55,33,968.4,2.67,0.578,0,1222,1104,1200-1400,-12
kprasann2007,2025-12-27,881,5.02,10,802.4,1.67,0.546,0,1004,1107,800-1200,123
kprasann2007,2026-01-12,886,4.6,11,804.2,2.0,0.547,0,923,1107,800-1200,37
kprasann2007,2026-01-17,864,6.54,14,802.7,2.33,0.558,0,923,1107,800-1200,59
Bhuvan_Preran,2026-03-21,1052,4.96,15,915.6,1.67,0.685,0,1105,1105,800-1200,53
Vipul086,2026-01-25,1015,2.75,14,847.1,1.67,0.662,0,1099,1104,800-1200,84
return_x,2024-12-28,954,0.95,13,827.8,2.33,0.586,0,1008,999,800-1200,54
return_x,2025-01-20,926,1.44,14,868.8,3.33,0.62,0,999,999,800-1200,73
return_x,2025-02-09,906,1.55,14,859.0,4.0,0.618,1,999,999,800-1200,93
return_x,2025-02-27,947,1.63,15,875.6,5.0,0.628,1,999,999,800-1200,52
Hffno,2026-02-25,1128,1.08,16,942.9,1.33,0.684,0,1049,1098,800-1200,-79
faresnasser,2025-07-06,1029,1.46,25,1103.3,1.67,0.477,1,936,969,800-1200,-93
faresnasser,2025-07-19,1067,1.51,25,1108.4,2.0,0.477,0,990,969,800-1200,-77
faresnasser,2025-07-22,1115,1.54,25,1103.1,2.33,0.48,0,969,969,800-1200,-146
faresnasser,2025-07-27,1178,1.54,25,1100.0,2.33,0.477,0,969,969,800-1200,-209
faresnasser,2025-08-24,1129,1.58,25,1081.3,2.33,0.485,0,969,972,800-1200,-160
sahilkumar0135,2025-02-28,1077,2.38,16,887.5,1.67,0.694,0,1217,1217,800-1200,140
Badal_07,2025-11-16,927,1.23,12,821.4,1.67,0.644,0,1048,1094,800-1200,121
Riduu1,2024-01-13,1170,0.34,14,900.0,1.67,0.629,0,1185,1178,800-1200,15
Riduu1,2024-01-15,1182,0.4,14,900.0,2.0,0.607,0,1185,1126,800-1200,3
Riduu1,2024-01-18,1192,0.44,14,926.5,2.33,0.609,0,1185,1126,800-1200,-7
Riduu1,2024-01-30,1146,0.59,14,966.0,2.67,0.622,0,1185,1126,800-1200,39
Riduu1,2024-02-06,1213,0.65,14,975.0,3.0,0.622,0,1185,1126,1200-1400,-28
mistisharma8705,2025-06-17,884,4.64,16,815.3,1.67,0.482,0,949,949,800-1200,65
mistisharma8705,2025-06-23,813,5.3,16,826.4,2.33,0.497,0,949,949,800-1200,136
mistisharma8705,2025-07-05,770,6.21,16,833.7,3.0,0.5,0,949,949,<800,179
mistisharma8705,2025-07-17,832,7.0,17,848.7,3.0,0.506,0,949,949,800-1200,117
mistisharma8705,2025-07-22,912,7.11,17,854.0,3.67,0.507,0,949,949,800-1200,37
081_rajeshverma,2024-08-10,952,1.47,15,850.0,1.33,0.62,0,739,888,800-1200,-213
081_rajeshverma,2024-09-21,707,1.37,16,842.1,3.0,0.626,1,847,994,<800,140
081_rajeshverma,2024-12-20,753,1.16,17,834.0,1.67,0.627,1,994,927,<800,241
081_rajeshverma,2025-02-09,888,1.61,18,832.5,2.67,0.573,1,1036,1002,800-1200,148
081_rajeshverma,2025-04-03,967,1.59,21,837.9,2.33,0.573,1,927,1007,800-1200,-40
Shuxrat_programming,2024-04-12,917,35.6,26,871.1,1.67,0.586,0,1117,994,800-1200,200
Shuxrat_programming,2024-04-21,956,39.96,26,895.6,2.0,0.601,0,1117,994,800-1200,161
harjani.dev,2026-01-25,1003,0.8,17,910.0,1.0,0.662,0,1047,1088,800-1200,44
01_aditya_jha,2024-06-06,989,3.35,16,902.6,1.33,0.522,0,967,974,800-1200,-22
01_aditya_jha,2024-06-09,1046,3.41,16,905.0,1.67,0.527,0,967,974,800-1200,-79
01_aditya_jha,2024-06-16,1025,3.73,17,905.5,2.0,0.51,0,967,974,800-1200,-58
Stormbreaker06,2025-10-06,1041,2.87,26,991.6,0.67,0.61,0,1094,1202,800-1200,53
Stormbreaker06,2025-10-19,1107,2.98,28,1003.1,1.33,0.603,0,1147,1202,800-1200,40
Stormbreaker06,2025-11-20,1057,3.22,28,1040.3,2.0,0.586,0,1202,1202,800-1200,145
Stormbreaker06,2025-12-05,1046,3.48,28,1057.5,2.67,0.594,0,1202,1200,800-1200,156
Stormbreaker06,2025-12-11,1032,3.72,28,1074.1,3.0,0.597,0,1202,1127,800-1200,170
wahidnoob,2026-01-12,930,4.54,19,860.0,0.67,0.654,0,1020,1083,800-1200,90
arjun.18,2025-08-10,810,0.66,10,812.5,2.33,0.766,0,983,1318,800-1200,173
Ezz,2024-06-23,964,4.61,17,838.5,1.67,0.567,0,901,901,800-1200,-63
ShaRAng2201,2024-04-29,1159,16.81,21,913.9,1.67,0.608,0,1118,1076,800-1200,-41
Aryananya2612,2025-10-17,1010,34.59,21,815.0,1.67,0.498,0,1202,1070,800-1200,192
Aryananya2612,2025-11-28,1033,17.32,22,812.8,2.0,0.419,0,1070,1070,800-1200,37
Aryananya2612,2025-12-11,1003,15.72,22,812.9,2.33,0.413,0,1070,1070,800-1200,67
Pavan_2007,2025-12-19,1077,2.22,18,935.9,0.33,0.566,0,1069,1069,800-1200,-8
bestestgrammar,2024-08-10,1021,3.05,13,879.4,1.67,0.66,0,1167,1101,800-1200,146
bestestgrammar,2024-08-13,1027,3.72,15,900.0,2.0,0.644,0,1167,1101,800-1200,140
godoflegend,2025-06-08,1004,3.01,22,1015.8,1.67,0.6,1,933,1060,800-1200,-71
mandal_12,2025-10-03,1009,1.22,17,1200.0,1.67,0.598,0,1036,1019,800-1200,27
mandal_12,2025-10-06,954,1.25,17,1184.0,1.67,0.591,0,1036,1019,800-1200,82
mandal_12,2025-10-17,906,1.39,17,1153.3,2.0,0.603,0,1036,1019,800-1200,130
ItsRohitNITT,2025-01-17,979,0.57,18,845.5,1.33,0.692,0,969,969,800-1200,-10
Phoenix2_5,2025-03-11,960,3.15,17,830.6,1.33,0.624,0,917,917,800-1200,-43
grandmaster_maldee,2019-12-19,1118,0.22,7,920.0,0.67,0.743,0,936,998,800-1200,-182
grandmaster_maldee,2020-04-08,875,0.8,15,896.8,0.67,0.582,0,998,1122,800-1200,123
grandmaster_maldee,2020-04-23,1054,1.11,19,940.0,2.33,0.609,0,998,1122,800-1200,-56
grandmaster_maldee,2020-08-25,1091,1.56,23,911.0,0.67,0.478,0,1122,1051,800-1200,31
vikash8340,2026-04-21,1065,1.22,13,828.9,0.0,0.455,0,1045,1045,800-1200,-20
Master_Jiraiya96,2024-06-03,1146,3.74,13,1063.3,1.67,0.601,0,1172,1040,800-1200,26
Master_Jiraiya96,2024-06-06,1203,3.91,13,1057.6,2.0,0.613,0,1172,1040,1200-1400,-31
Master_Jiraiya96,2024-06-11,1219,4.47,14,1026.8,2.33,0.631,0,1172,1040,1200-1400,-47
Master_Jiraiya96,2024-06-16,1235,4.47,15,1027.3,2.67,0.621,0,1172,1040,1200-1400,-63
Master_Jiraiya96,2024-07-07,1210,3.96,17,1056.9,2.67,0.615,0,1168,1040,1200-1400,-42
aryanraj1622,2023-12-05,991,2.42,17,995.6,1.67,0.413,0,1203,1091,800-1200,212
aryanraj1622,2023-12-24,1037,3.19,21,1023.5,3.33,0.436,0,1079,1084,800-1200,42
aryanraj1622,2024-01-27,963,3.06,22,1022.5,5.0,0.443,0,1079,1034,800-1200,116
aryanraj1622,2024-02-18,1119,3.24,22,1008.4,6.67,0.464,0,1097,1034,800-1200,-22
aryanraj1622,2024-03-11,1149,3.39,24,1009.1,6.0,0.481,0,1064,1034,800-1200,-85
natkuru22,2024-11-17,924,2.16,13,805.6,1.67,0.689,0,789,789,800-1200,-135
natkuru22,2024-12-19,898,1.78,14,804.3,2.33,0.697,0,789,752,800-1200,-109
natkuru22,2025-06-17,810,0.98,16,813.2,0.33,0.69,0,767,1032,800-1200,-43
natkuru22,2025-06-23,773,1.01,17,812.5,1.0,0.691,0,858,1032,<800,85
_ansh_i7,2025-07-17,989,2.27,15,836.7,1.33,0.624,0,1001,944,800-1200,12
paulankita378,2024-01-27,812,12.59,18,911.5,1.67,0.657,0,856,810,800-1200,44
paulankita378,2024-02-06,793,12.51,19,914.1,2.33,0.652,0,856,777,<800,63
paulankita378,2024-02-15,765,12.79,19,913.1,3.0,0.645,0,856,777,<800,91
paulankita378,2024-03-11,686,11.27,19,916.9,3.67,0.651,0,856,772,<800,170
paulankita378,2024-04-08,783,11.22,22,901.7,3.33,0.633,0,856,772,<800,73
LSU_D25_Tangxiang123,2026-02-27,998,1.8,14,935.3,1.67,0.685,0,1040,1024,800-1200,42
aves_chan,2024-11-23,1009,0.96,12,838.9,1.67,0.572,0,993,993,800-1200,-16
Bansi_Mahkana,2025-03-11,928,1.7,14,800.0,1.33,0.655,0,899,917,800-1200,-29
iamtanishqjain,2025-09-13,853,1.83,16,833.8,1.33,0.596,0,910,1005,800-1200,57
iamtanishqjain,2025-09-17,913,1.83,17,833.3,1.67,0.597,0,910,1005,800-1200,-3
iamtanishqjain,2025-10-10,821,2.05,17,835.8,2.0,0.611,0,1007,1005,800-1200,186
iamtanishqjain,2025-10-28,782,2.19,19,839.1,2.33,0.618,0,1007,1005,<800,225
kawser0x,2026-03-16,998,1.12,23,867.8,1.33,0.628,0,1016,1016,800-1200,18
shoaibisa,2023-09-26,965,3.65,22,881.1,0.67,0.55,0,969,1015,800-1200,4
shoaibisa,2023-12-28,969,3.36,24,888.6,0.67,0.546,0,1015,1015,800-1200,46
shoaibisa,2024-01-13,1025,4.06,25,894.7,1.0,0.542,0,1015,1015,800-1200,-10
shoaibisa,2024-01-27,1036,4.34,26,892.1,2.0,0.546,0,1015,1015,800-1200,-21
ayham_majali,2025-11-16,967,5.0,26,871.0,1.33,0.488,0,876,1012,800-1200,-91
Zypka05,2026-05-30,1007,2.46,16,1059.1,1.0,0.736,0,1006,1006,800-1200,-1
kamran01,2025-10-24,918,10.84,15,845.3,1.67,0.555,0,805,913,800-1200,-113
repeat1,2026-02-21,927,1.51,18,983.3,1.67,0.648,0,1004,1004,800-1200,77
Atharv_Swami,2025-12-27,942,2.27,13,819.5,1.67,0.577,0,707,1002,800-1200,-235
Atharv_Swami,2026-01-12,925,2.07,13,819.0,2.0,0.575,0,772,1002,800-1200,-153
Atharv_Swami,2026-01-23,873,2.06,13,820.0,2.33,0.583,0,820,1002,800-1200,-53
Atharv_Swami,2026-02-15,776,3.14,16,857.0,1.67,0.605,0,923,1002,<800,147
TarunTalan,2025-10-28,914,6.43,14,858.8,1.67,0.542,0,1015,1001,800-1200,101
TarunTalan,2025-10-31,950,6.44,14,866.7,2.0,0.54,0,1015,1001,800-1200,65
TarunTalan,2025-11-28,1012,4.12,15,875.0,2.33,0.538,0,1016,1001,800-1200,4
TarunTalan,2025-11-29,984,4.16,15,873.2,2.67,0.538,0,959,1001,800-1200,-25
arp2025,2025-01-20,787,1.16,9,800.0,1.67,0.634,1,756,756,<800,-31
Cbubhuyan01,2026-03-16,949,30.54,23,837.4,1.67,0.62,0,996,996,800-1200,47
h0s24m,2024-11-02,963,1.15,15,861.0,0.0,0.648,1,985,882,800-1200,22
Udit_1902,2025-05-01,896,0.68,14,849.0,0.33,0.608,0,936,967,800-1200,40
anzrew,2026-02-25,1023,0.78,10,900.0,1.67,0.744,0,1021,985,800-1200,-2
mahaashri30,2025-11-10,1054,1.05,13,803.8,1.67,0.724,0,983,983,800-1200,-71
Rashu_001,2022-11-18,752,0.9,13,826.3,0.33,0.634,0,839,959,<800,87
Rashu_001,2023-01-15,543,1.33,15,831.0,1.67,0.594,0,959,858,<800,416
Rashu_001,2023-02-03,812,1.78,18,839.1,3.33,0.593,0,959,858,800-1200,147
Rashu_001,2023-06-18,857,3.0,24,952.9,1.33,0.592,0,847,847,800-1200,-10
Rashu_001,2024-02-27,881,2.21,24,945.0,1.0,0.591,0,1055,980,800-1200,174
abhaysingh1824,2025-12-27,910,1.86,11,806.2,1.67,0.633,0,919,979,800-1200,9
abhaysingh1824,2026-01-07,905,5.91,14,801.7,2.0,0.485,0,919,979,800-1200,14
M.H.Jim,2025-02-16,959,20.43,21,833.7,1.67,0.569,0,1044,1045,800-1200,85
M.H.Jim,2025-02-25,983,21.5,22,830.5,2.0,0.578,0,1044,1045,800-1200,61
M.H.Jim,2025-04-13,974,20.5,23,841.3,2.0,0.543,0,1013,1107,800-1200,39
M.H.Jim,2025-07-01,1044,17.4,24,855.6,0.33,0.519,0,1107,1109,800-1200,63
M.H.Jim,2025-07-17,1013,17.32,25,863.6,0.33,0.523,0,1107,1109,800-1200,94
huxint.,2024-02-17,1108,9.27,17,970.8,1.67,0.68,0,1125,1221,800-1200,17
huxint.,2024-04-27,1128,8.82,21,1085.2,5.67,0.619,0,1115,1295,800-1200,-13
huxint.,2024-07-26,1115,6.92,23,1067.5,3.67,0.643,0,1214,1523,800-1200,99
huxint.,2024-10-14,1332,6.65,27,1094.1,5.0,0.59,0,1495,1552,1200-1400,163
huxint.,2025-01-26,1523,6.9,31,1137.4,2.67,0.604,0,1457,1191,1400-1600,-66
pkr_bt,2026-04-13,989,6.23,17,883.9,1.67,0.654,0,967,967,800-1200,-22
Vaibhav_kunkulol,2025-08-24,940,2.47,14,916.7,1.67,0.668,0,886,850,800-1200,-54
Vaibhav_kunkulol,2025-09-17,943,2.64,15,931.7,2.67,0.658,0,863,850,800-1200,-80
Vaibhav_kunkulol,2025-10-19,859,2.63,17,949.1,3.67,0.642,0,850,1040,800-1200,-9
Vaibhav_kunkulol,2025-12-06,787,2.34,17,963.5,2.67,0.644,0,850,1067,<800,63
Vaibhav_kunkulol,2025-12-23,774,3.5,18,1011.7,2.67,0.614,0,850,963,<800,76
damianbznt,2025-10-06,1038,1.96,22,897.2,1.0,0.556,0,988,994,800-1200,-50
BacK_DooR,2023-08-24,754,5.03,14,807.7,0.67,0.665,0,694,645,<800,-60
BacK_DooR,2024-01-30,583,5.49,18,820.1,2.0,0.663,0,594,675,<800,11
BacK_DooR,2024-04-29,684,6.0,19,832.6,3.33,0.65,0,675,770,<800,-9
BacK_DooR,2024-09-21,619,7.64,24,855.3,1.67,0.589,0,805,826,<800,186
BacK_DooR,2025-07-01,813,8.22,28,913.8,1.0,0.598,0,842,864,800-1200,29
