handle,snapshot_date,current_rating,solve_rate_per_week,tag_diversity,avg_problem_rating,contest_frequency,consistency_score,weak_tag_count,rating_volatility,recent_performance,total_ac_count,label_3m,label_6m
akshit777,2026-02-15,1056,12.08,26,869.8,3.0,0.61,0,145.1,20.8,174,1048,1169
trishal_13,2023-09-11,1083,4.94,16,815.6,1.67,0.553,0,121.7,216.6,34,1049,1106
trishal_13,2023-10-09,1068,5.6,19,844.1,2.67,0.555,0,144.4,37.4,61,1175,1106
trishal_13,2023-12-16,1049,5.0,21,883.2,1.67,0.571,0,104.3,-10.0,103,1106,1087
trishal_13,2023-12-30,1160,5.0,21,884.7,2.0,0.581,0,42.1,26.4,113,1106,1087
trishal_13,2024-05-17,1127,2.85,21,883.2,0.33,0.577,0,37.9,6.8,121,1065,1158
Aks06,2025-04-13,980,1.79,16,845.5,1.67,0.624,1,120.1,196.0,22,1034,1030
amankasaudhan,2025-11-10,901,2.2,14,847.1,2.33,0.689,0,146.5,47.0,17,979,1177
amankasaudhan,2025-11-14,897,2.05,14,847.1,2.67,0.689,0,143.9,15.8,17,986,1177
amankasaudhan,2026-01-07,813,1.25,14,890.0,1.33,0.674,0,149.0,-19.2,20,1097,1154
Thunder_Dragon,2025-07-17,1052,2.89,23,891.8,0.67,0.62,0,105.4,210.4,234,1072,1156
TABREZQURESHI,2025-05-31,951,5.02,17,876.6,1.33,0.574,0,145.1,190.2,137,953,928
TABREZQURESHI,2025-09-09,1044,3.5,17,879.5,1.0,0.574,0,139.5,26.0,146,928,1160
TABREZQURESHI,2025-10-10,922,3.4,18,880.3,2.33,0.574,0,62.0,-6.2,157,1081,1181
TABREZQURESHI,2025-12-29,1065,4.93,19,907.0,1.33,0.576,0,69.3,28.4,284,1160,1148
TABREZQURESHI,2026-01-18,1135,5.19,20,922.0,2.0,0.566,0,67.8,31.6,314,1181,1148
shahanmusthakim,2026-02-27,949,3.55,16,885.5,1.67,0.667,0,136.6,189.8,55,1113,1147
mohitiit651,2020-12-15,813,1.62,9,866.7,1.33,0.71,0,124.7,162.6,12,762,1034
mohitiit651,2021-02-05,999,5.52,21,1103.7,4.33,0.636,0,90.3,41.8,82,912,1100
mohitiit651,2021-05-02,971,4.46,24,1066.9,3.67,0.591,0,61.3,3.2,121,1125,1243
mohitiit651,2021-06-20,993,6.33,30,1111.1,6.0,0.606,0,94.5,12.6,216,1202,1187
mohitiit651,2021-08-26,1081,6.11,31,1106.7,5.0,0.603,0,43.1,5.2,267,1145,1055
Lazy.__.Coder,2025-09-15,1065,11.38,20,897.5,1.67,0.43,0,110.1,213.0,121,944,1202
sujansinht32,2024-02-13,825,1.32,19,977.8,1.33,0.676,0,124.0,165.0,46,989,1045
sujansinht32,2024-03-19,952,2.33,20,965.2,5.67,0.642,0,60.0,15.6,93,970,978
sujansinht32,2024-05-10,991,3.51,22,972.7,9.0,0.616,0,31.2,12.4,166,1084,934
sujansinht32,2024-07-07,944,3.87,23,957.0,6.67,0.616,0,50.2,5.6,215,997,936
sujansinht32,2024-08-15,954,4.67,27,947.4,8.0,0.609,0,36.3,-29.0,286,934,951
rZwols,2025-10-17,1060,1.72,19,888.5,1.0,0.571,0,129.1,212.0,53,967,898
rZwols,2026-01-07,1020,1.29,20,905.6,0.67,0.575,1,150.7,116.6,55,898,1130
MadKakashi,2023-03-02,961,2.93,16,873.6,0.33,0.569,0,110.3,192.2,125,980,980
MadKakashi,2023-09-10,980,2.01,18,900.7,0.0,0.563,0,124.7,73.6,141,952,952
MadKakashi,2023-09-11,957,2.01,18,900.7,0.33,0.563,0,128.5,35.4,141,952,952
MadKakashi,2023-10-09,855,1.92,18,900.0,0.67,0.561,0,139.7,-12.8,143,952,952
ano_rohit,2026-01-25,1011,1.45,13,888.9,1.67,0.616,0,127.1,202.2,18,1086,1124
ano_rohit,2026-02-15,1067,2.72,19,961.9,3.0,0.629,0,134.4,23.6,42,1085,1124
ano_rohit,2026-02-26,944,3.35,20,947.4,4.33,0.639,0,60.0,-29.6,57,1208,1124
ano_rohit,2026-03-16,959,4.14,20,937.0,5.67,0.649,0,40.8,6.4,81,1130,1124
ano_rohit,2026-04-04,995,5.03,25,965.5,7.0,0.633,0,42.2,15.6,112,1124,1124
Bido_,2023-09-21,915,2.34,16,948.1,1.67,0.588,0,117.5,183.0,55,903,979
Bido_,2023-11-24,916,3.61,18,902.7,2.67,0.58,0,131.0,0.2,118,955,1028
Bido_,2024-01-06,981,4.02,20,919.7,2.33,0.594,0,57.6,13.0,156,959,1106
Bido_,2024-02-13,981,4.09,21,919.6,3.67,0.59,0,49.0,0.0,181,987,1293
Bido_,2024-03-01,919,4.37,22,945.0,4.67,0.588,0,51.1,-12.4,204,1028,1297
deepanshu27nit,2025-03-10,995,1.39,12,823.3,1.33,0.568,0,91.4,199.0,43,1063,1021
deepanshu27nit,2025-05-24,983,2.16,19,885.6,1.33,0.597,0,122.0,17.8,90,1001,1054
deepanshu27nit,2025-06-12,1063,2.33,24,896.1,2.33,0.607,0,52.0,21.8,103,1021,979
deepanshu27nit,2025-07-27,975,2.31,24,906.0,3.0,0.622,0,39.2,-4.6,117,1028,965
deepanshu27nit,2025-08-28,1033,2.37,24,909.2,3.33,0.628,0,35.1,10.2,131,1054,965
Saiiiiiimm,2025-02-02,781,0.92,16,862.5,1.67,1.0,0,131.1,156.2,8,665,570
Saiiiiiimm,2025-04-13,606,1.87,17,820.0,2.67,0.502,0,135.2,-35.0,35,665,901
Saiiiiiimm,2025-08-24,525,3.5,24,815.9,1.0,0.525,0,46.9,-16.2,132,1067,1054
Saiiiiiimm,2025-10-06,843,5.95,25,829.5,2.67,0.536,0,78.5,63.6,261,1055,1072
Saiiiiiimm,2025-11-06,1012,6.46,27,849.0,4.0,0.529,1,61.7,33.8,312,1055,1072
justmeshtic,2025-08-28,1005,0.17,12,846.2,1.0,0.7,0,130.4,201.0,13,1028,1040
Kiran_516,2022-10-10,1095,0.8,13,855.6,1.0,0.618,0,95.9,219.0,18,1079,1087
Kiran_516,2022-10-11,1173,0.88,13,850.0,1.33,0.628,0,102.1,157.0,20,1079,1087
Kiran_516,2022-10-13,1138,1.0,13,847.8,1.67,0.644,0,124.3,99.8,23,1079,1087
Kiran_516,2022-12-15,1106,1.66,13,820.8,1.0,0.61,0,132.9,56.8,53,1051,1087
Kiran_516,2023-01-03,1089,1.76,13,819.7,1.33,0.613,0,134.4,20.6,61,1065,1087
mohddanish93543,2024-05-30,1017,0.98,11,843.8,0.33,0.66,0,112.2,203.4,16,1086,1110
mohddanish93543,2024-05-31,982,1.16,11,857.9,0.67,0.696,0,135.6,122.0,19,1086,1110
mohddanish93543,2024-06-06,981,1.39,12,866.7,1.0,0.706,0,138.1,70.8,24,1086,1110
mohddanish93543,2024-06-11,990,1.78,13,878.1,1.33,0.629,0,136.3,26.2,32,1086,1110
mohddanish93543,2024-07-07,1037,1.56,16,873.5,1.33,0.618,0,130.7,18.4,34,1086,1110
MALEK_AOZON,2021-12-16,868,7.05,24,896.5,0.0,0.562,0,138.9,173.6,321,862,988
MALEK_AOZON,2022-04-21,992,7.69,28,937.3,2.67,0.561,0,66.0,26.0,489,871,1032
MALEK_AOZON,2022-07-16,1010,7.41,30,932.7,3.33,0.568,0,47.7,10.2,562,1048,950
MALEK_AOZON,2022-12-16,1055,6.25,32,932.9,2.0,0.571,0,51.1,31.2,611,1076,1208
MALEK_AOZON,2023-04-24,1234,6.55,33,968.4,2.67,0.578,0,61.5,31.6,761,1222,1104
kprasann2007,2025-12-27,881,5.02,10,802.4,1.67,0.546,0,110.4,176.2,41,1004,1107
kprasann2007,2026-01-12,886,4.6,11,804.2,2.0,0.547,0,119.3,105.0,48,923,1107
kprasann2007,2026-01-17,864,6.54,14,802.7,2.33,0.558,0,125.4,53.2,73,923,1107
Bhuvan_Preran,2026-03-21,1052,4.96,15,915.6,1.67,0.685,0,116.1,210.4,32,1105,1105
Vipul086,2026-01-25,1015,2.75,14,847.1,1.67,0.662,0,116.3,203.0,35,1099,1104
return_x,2024-12-28,954,0.95,13,827.8,2.33,0.586,0,122.1,47.6,18,1008,999
return_x,2025-01-20,926,1.44,14,868.8,3.33,0.62,0,88.5,-3.8,32,999,999
return_x,2025-02-09,906,1.55,14,859.0,4.0,0.618,1,42.4,10.2,39,999,999
return_x,2025-02-27,947,1.63,15,875.6,5.0,0.628,1,40.8,9.2,45,999,999
Hffno,2026-02-25,1128,1.08,16,942.9,1.33,0.684,0,130.8,225.6,15,1049,1098
faresnasser,2025-07-06,1029,1.46,25,1103.3,1.67,0.477,1,127.3,205.8,95,936,969
faresnasser,2025-07-19,1067,1.51,25,1108.4,2.0,0.477,0,131.9,133.4,101,990,969
faresnasser,2025-07-22,1115,1.54,25,1103.1,2.33,0.48,0,130.3,85.6,104,969,969
faresnasser,2025-07-27,1178,1.54,25,1100.0,2.33,0.477,0,126.0,69.2,105,969,969
faresnasser,2025-08-24,1129,1.58,25,1081.3,2.33,0.485,0,133.8,25.6,114,969,972
sahilkumar0135,2025-02-28,1077,2.38,16,887.5,1.67,0.694,0,114.7,215.4,16,1217,1217
Badal_07,2025-11-16,927,1.23,12,821.4,1.67,0.644,0,129.0,185.4,14,1048,1094
Riduu1,2024-01-13,1170,0.34,14,900.0,1.67,0.629,0,110.8,234.0,26,1185,1178
Riduu1,2024-01-15,1182,0.4,14,900.0,2.0,0.607,0,130.6,156.4,31,1185,1126
Riduu1,2024-01-18,1192,0.44,14,926.5,2.33,0.609,0,137.5,98.8,34,1185,1126
Riduu1,2024-01-30,1146,0.59,14,966.0,2.67,0.622,0,147.2,40.2,47,1185,1126
Riduu1,2024-02-06,1213,0.65,14,975.0,3.0,0.622,0,140.8,31.2,52,1185,1126
mistisharma8705,2025-06-17,884,4.64,16,815.3,1.67,0.482,0,123.5,176.8,59,949,949
mistisharma8705,2025-06-23,813,5.3,16,826.4,2.33,0.497,0,144.5,36.8,72,949,949
mistisharma8705,2025-07-05,770,6.21,16,833.7,3.0,0.5,0,141.5,-13.8,95,949,949
mistisharma8705,2025-07-17,832,7.0,17,848.7,3.0,0.506,0,94.2,-13.8,119,949,949
mistisharma8705,2025-07-22,912,7.11,17,854.0,3.67,0.507,0,52.9,14.6,126,949,949
081_rajeshverma,2024-08-10,952,1.47,15,850.0,1.33,0.62,0,113.8,190.4,32,739,888
081_rajeshverma,2024-09-21,707,1.37,16,842.1,3.0,0.626,1,148.3,-49.0,38,847,994
081_rajeshverma,2024-12-20,753,1.16,17,834.0,1.67,0.627,1,47.5,9.2,47,994,927
081_rajeshverma,2025-02-09,888,1.61,18,832.5,2.67,0.573,1,32.6,27.0,77,1036,1002
081_rajeshverma,2025-04-03,967,1.59,21,837.9,2.33,0.573,1,41.1,15.8,88,927,1007
Shuxrat_programming,2024-04-12,917,35.6,26,871.1,1.67,0.586,0,135.9,183.4,404,1117,994
Shuxrat_programming,2024-04-21,956,39.96,26,895.6,2.0,0.601,0,135.2,114.4,505,1117,994
harjani.dev,2026-01-25,1003,0.8,17,910.0,1.0,0.662,0,105.0,200.6,20,1047,1088
01_aditya_jha,2024-06-06,989,3.35,16,902.6,1.33,0.522,0,98.6,197.8,77,967,974
01_aditya_jha,2024-06-09,1046,3.41,16,905.0,1.67,0.527,0,104.2,138.0,80,967,974
01_aditya_jha,2024-06-16,1025,3.73,17,905.5,2.0,0.51,0,118.2,81.4,91,967,974
Stormbreaker06,2025-10-06,1041,2.87,26,991.6,0.67,0.61,0,110.7,208.2,119,1094,1202
Stormbreaker06,2025-10-19,1107,2.98,28,1003.1,1.33,0.603,0,123.7,93.2,129,1147,1202
Stormbreaker06,2025-11-20,1057,3.22,28,1040.3,2.0,0.586,0,133.1,9.6,154,1202,1202
Stormbreaker06,2025-12-05,1046,3.48,28,1057.5,2.67,0.594,0,102.5,-11.8,174,1202,1200
Stormbreaker06,2025-12-11,1032,3.72,28,1074.1,3.0,0.597,0,62.8,-7.8,189,1202,1127
wahidnoob,2026-01-12,930,4.54,19,860.0,0.67,0.654,0,112.4,186.0,85,1020,1083
arjun.18,2025-08-10,810,0.66,10,812.5,2.33,0.766,0,137.7,39.4,8,983,1318
Ezz,2024-06-23,964,4.61,17,838.5,1.67,0.567,0,93.6,192.8,92,901,901
ShaRAng2201,2024-04-29,1159,16.81,21,913.9,1.67,0.608,0,133.2,231.8,187,1118,1076
Aryananya2612,2025-10-17,1010,34.59,21,815.0,1.67,0.498,0,112.6,202.0,120,1202,1070
Aryananya2612,2025-11-28,1033,17.32,22,812.8,2.0,0.419,0,122.6,130.6,164,1070,1070
Aryananya2612,2025-12-11,1003,15.72,22,812.9,2.33,0.413,0,133.7,76.6,178,1070,1070
Pavan_2007,2025-12-19,1077,2.22,18,935.9,0.33,0.566,0,100.9,215.4,78,1069,1069
bestestgrammar,2024-08-10,1021,3.05,13,879.4,1.67,0.66,0,134.6,204.2,34,1167,1101
bestestgrammar,2024-08-13,1027,3.72,15,900.0,2.0,0.644,0,143.3,123.4,43,1167,1101
godoflegend,2025-06-08,1004,3.01,22,1015.8,1.67,0.6,1,121.2,200.8,102,933,1060
mandal_12,2025-10-03,1009,1.22,17,1200.0,1.67,0.598,0,111.4,201.8,24,1036,1019
mandal_12,2025-10-06,954,1.25,17,1184.0,1.67,0.591,0,139.6,118.8,25,1036,1019
mandal_12,2025-10-17,906,1.39,17,1153.3,2.0,0.603,0,148.2,55.8,30,1036,1019
ItsRohitNITT,2025-01-17,979,0.57,18,845.5,1.33,0.692,0,123.6,195.8,11,969,969
Phoenix2_5,2025-03-11,960,3.15,17,830.6,1.33,0.624,0,102.1,192.0,85,917,917
grandmaster_maldee,2019-12-19,1118,0.22,7,920.0,0.67,0.743,0,576.7,223.6,5,936,998
grandmaster_maldee,2020-04-08,875,0.8,15,896.8,0.67,0.582,0,431.9,-48.6,31,998,1122
grandmaster_maldee,2020-04-23,1054,1.11,19,940.0,2.33,0.609,0,92.0,35.8,45,998,1122
grandmaster_maldee,2020-08-25,1091,1.56,23,911.0,0.67,0.478,0,86.0,7.4,91,1122,1051
vikash8340,2026-04-21,1065,1.22,13,828.9,0.0,0.455,0,102.6,213.0,45,1045,1045
Master_Jiraiya96,2024-06-03,1146,3.74,13,1063.3,1.67,0.601,0,140.5,229.2,30,1172,1040
Master_Jiraiya96,2024-06-06,1203,3.91,13,1057.6,2.0,0.613,0,143.4,159.6,33,1172,1040
Master_Jiraiya96,2024-06-11,1219,4.47,14,1026.8,2.33,0.631,0,147.6,94.6,41,1172,1040
Master_Jiraiya96,2024-06-16,1235,4.47,15,1027.3,2.67,0.621,0,147.7,45.4,44,1172,1040
Master_Jiraiya96,2024-07-07,1210,3.96,17,1056.9,2.67,0.615,0,150.2,19.0,51,1168,1040
aryanraj1622,2023-12-05,991,2.42,17,995.6,1.67,0.413,0,119.5,198.2,45,1203,1091
aryanraj1622,2023-12-24,1037,3.19,21,1023.5,3.33,0.436,0,134.5,9.2,68,1079,1084
aryanraj1622,2024-01-27,963,3.06,22,1022.5,5.0,0.443,0,60.7,-14.8,80,1079,1034
aryanraj1622,2024-02-18,1119,3.24,22,1008.4,6.67,0.464,0,63.4,31.2,95,1097,1034
aryanraj1622,2024-03-11,1149,3.39,24,1009.1,6.0,0.481,0,56.0,6.0,110,1064,1034
natkuru22,2024-11-17,924,2.16,13,805.6,1.67,0.689,0,107.4,184.8,18,789,789
natkuru22,2024-12-19,898,1.78,14,804.3,2.33,0.697,0,127.8,61.8,23,789,752
natkuru22,2025-06-17,810,0.98,16,813.2,0.33,0.69,0,90.2,-24.2,38,767,1032
natkuru22,2025-06-23,773,1.01,17,812.5,1.0,0.691,0,54.0,-14.6,40,858,1032
_ansh_i7,2025-07-17,989,2.27,15,836.7,1.33,0.624,0,98.9,197.8,60,1001,944
paulankita378,2024-01-27,812,12.59,18,911.5,1.67,0.657,0,114.3,162.4,141,856,810
paulankita378,2024-02-06,793,12.51,19,914.1,2.33,0.652,0,124.2,44.6,158,856,777
paulankita378,2024-02-15,765,12.79,19,913.1,3.0,0.645,0,122.0,-0.4,178,856,777
paulankita378,2024-03-11,686,11.27,19,916.9,3.67,0.651,0,85.3,-26.2,197,856,772
paulankita378,2024-04-08,783,11.22,22,901.7,3.33,0.633,0,41.8,4.6,241,856,772
LSU_D25_Tangxiang123,2026-02-27,998,1.8,14,935.3,1.67,0.685,0,126.0,199.6,17,1040,1024
aves_chan,2024-11-23,1009,0.96,12,838.9,1.67,0.572,0,112.5,201.8,20,993,993
Bansi_Mahkana,2025-03-11,928,1.7,14,800.0,1.33,0.655,0,114.1,185.6,47,899,917
iamtanishqjain,2025-09-13,853,1.83,16,833.8,1.33,0.596,0,134.6,170.6,65,910,1005
iamtanishqjain,2025-09-17,913,1.83,17,833.3,1.67,0.597,0,129.6,106.4,66,910,1005
iamtanishqjain,2025-10-10,821,2.05,17,835.8,2.0,0.611,0,147.3,43.6,81,1007,1005
iamtanishqjain,2025-10-28,782,2.19,19,839.1,2.33,0.618,0,147.2,-2.4,92,1007,1005
kawser0x,2026-03-16,998,1.12,23,867.8,1.33,0.628,0,107.4,199.6,87,1016,1016
shoaibisa,2023-09-26,965,3.65,22,881.1,0.67,0.55,0,139.4,27.8,184,969,1015
shoaibisa,2023-12-28,969,3.36,24,888.6,0.67,0.546,0,88.6,1.6,214,1015,1015
shoaibisa,2024-01-13,1025,4.06,25,894.7,1.0,0.542,0,32.3,13.6,268,1015,1015
shoaibisa,2024-01-27,1036,4.34,26,892.1,2.0,0.546,0,27.0,9.4,295,1015,1015
ayham_majali,2025-11-16,967,5.0,26,871.0,1.33,0.488,0,172.0,193.4,200,876,1012
Zypka05,2026-05-30,1007,2.46,16,1059.1,1.0,0.736,0,109.0,201.4,44,1006,1006
kamran01,2025-10-24,918,10.84,15,845.3,1.67,0.555,0,123.1,183.6,65,805,913
repeat1,2026-02-21,927,1.51,18,983.3,1.67,0.648,0,123.9,185.4,18,1004,1004
Atharv_Swami,2025-12-27,942,2.27,13,819.5,1.67,0.577,0,159.8,188.4,41,707,1002
Atharv_Swami,2026-01-12,925,2.07,13,819.0,2.0,0.575,0,164.7,96.0,42,772,1002
Atharv_Swami,2026-01-23,873,2.06,13,820.0,2.33,0.583,0,168.7,26.2,45,820,1002
Atharv_Swami,2026-02-15,776,3.14,16,857.0,1.67,0.605,0,174.0,-17.8,79,923,1002
TarunTalan,2025-10-28,914,6.43,14,858.8,1.67,0.542,0,108.6,182.8,34,1015,1001
TarunTalan,2025-10-31,950,6.44,14,866.7,2.0,0.54,0,113.2,116.2,36,1015,1001
TarunTalan,2025-11-28,1012,4.12,15,875.0,2.33,0.538,0,110.1,82.8,40,1016,1001
TarunTalan,2025-11-29,984,4.16,15,873.2,2.67,0.538,0,117.8,45.8,41,959,1001
arp2025,2025-01-20,787,1.16,9,800.0,1.67,0.634,1,124.3,157.4,6,756,756
Cbubhuyan01,2026-03-16,949,30.54,23,837.4,1.67,0.62,0,126.7,189.8,214,996,996
h0s24m,2024-11-02,963,1.15,15,861.0,0.0,0.648,1,100.4,192.6,41,985,882
Udit_1902,2025-05-01,896,0.68,14,849.0,0.33,0.608,0,124.0,179.2,96,936,967
anzrew,2026-02-25,1023,0.78,10,900.0,1.67,0.744,0,103.0,204.6,13,1021,985
mahaashri30,2025-11-10,1054,1.05,13,803.8,1.67,0.724,0,129.5,210.8,52,983,983
Rashu_001,2022-11-18,752,0.9,13,826.3,0.33,0.634,0,130.4,150.4,27,839,959
Rashu_001,2023-01-15,543,1.33,15,831.0,1.67,0.594,0,143.2,-41.8,51,959,858
Rashu_001,2023-02-03,812,1.78,18,839.1,3.33,0.593,0,76.3,53.8,73,959,858
Rashu_001,2023-06-18,857,3.0,24,952.9,1.33,0.592,0,59.2,9.0,181,847,847
Rashu_001,2024-02-27,881,2.21,24,945.0,1.0,0.591,0,50.3,4.8,213,1055,980
abhaysingh1824,2025-12-27,910,1.86,11,806.2,1.67,0.633,0,107.0,182.0,16,919,979
abhaysingh1824,2026-01-07,905,5.91,14,801.7,2.0,0.485,0,120.0,109.4,60,919,979
M.H.Jim,2025-02-16,959,20.43,21,833.7,1.67,0.569,0,119.2,191.8,273,1044,1045
M.H.Jim,2025-02-25,983,21.5,22,830.5,2.0,0.578,0,125.5,118.8,315,1044,1045
M.H.Jim,2025-04-13,974,20.5,23,841.3,2.0,0.543,0,131.0,64.8,438,1013,1107
M.H.Jim,2025-07-01,1044,17.4,24,855.6,0.33,0.519,0,124.7,48.2,568,1107,1109
M.H.Jim,2025-07-17,1013,17.32,25,863.6,0.33,0.523,0,128.0,26.2,605,1107,1109
huxint.,2024-02-17,1108,9.27,17,970.8,1.67,0.68,0,126.8,221.6,24,1125,1221
huxint.,2024-04-27,1128,8.82,21,1085.2,5.67,0.619,0,47.1,18.4,111,1115,1295
huxint.,2024-07-26,1115,6.92,23,1067.5,3.67,0.643,0,38.5,3.8,176,1214,1523
huxint.,2024-10-14,1332,6.65,27,1094.1,5.0,0.59,0,51.3,18.6,245,1495,1552
huxint.,2025-01-26,1523,6.9,31,1137.4,2.67,0.604,0,96.0,14.0,357,1457,1191
pkr_bt,2026-04-13,989,6.23,17,883.9,1.67,0.654,0,122.0,197.8,56,967,967
Vaibhav_kunkulol,2025-08-24,940,2.47,14,916.7,1.67,0.668,0,113.9,188.0,30,886,850
Vaibhav_kunkulol,2025-09-17,943,2.64,15,931.7,2.67,0.658,0,129.0,28.0,41,863,850
Vaibhav_kunkulol,2025-10-19,859,2.63,17,949.1,3.67,0.642,0,97.5,-20.8,53,850,1040
Vaibhav_kunkulol,2025-12-06,787,2.34,17,963.5,2.67,0.644,0,47.1,-33.4,63,850,1067
Vaibhav_kunkulol,2025-12-23,774,3.5,18,1011.7,2.67,0.614,0,53.8,-26.0,103,850,963
damianbznt,2025-10-06,1038,1.96,22,897.2,1.0,0.556,0,95.4,207.6,261,988,994
BacK_DooR,2023-08-24,754,5.03,14,807.7,0.67,0.665,0,127.2,150.8,91,694,645
BacK_DooR,2024-01-30,583,5.49,18,820.1,2.0,0.663,0,76.7,10.8,224,594,675
BacK_DooR,2024-04-29,684,6.0,19,832.6,3.33,0.65,0,47.0,7.8,322,675,770
BacK_DooR,2024-09-21,619,7.64,24,855.3,1.67,0.589,0,55.7,-7.6,568,805,826
BacK_DooR,2025-07-01,813,8.22,28,913.8,1.0,0.598,0,27.3,1.4,944,842,864
Indis,2023-12-28,1109,8.65,21,1077.4,1.67,0.561,0,127.5,221.8,31,1059,1059
Garvit_07,2026-01-25,939,5.75,19,825.0,1.33,0.622,1,105.6,187.8,120,947,947
maruf004,2024-07-11,846,2.74,17,811.7,1.67,0.584,0,134.5,169.2,60,744,958
maruf004,2024-10-24,839,7.02,24,875.7,7.0,0.621,0,56.3,22.8,259,962,1198
maruf004,2025-02-18,893,8.26,27,949.7,5.67,0.619,0,54.2,-13.8,443,1130,1103
maruf004,2025-06-03,1022,8.86,31,998.3,6.33,0.614,0,52.8,-42.4,608,1098,1080
maruf004,2025-09-17,1038,9.52,32,1022.0,6.67,0.611,0,52.4,-11.2,797,1022,982
sk72775,2025-03-29,795,4.0,15,860.7,1.33,0.604,0,129.0,159.0,56,837,905
sk72775,2025-04-13,861,4.21,16,861.5,2.0,0.609,0,123.2,50.8,68,841,905
sk72775,2025-05-17,893,4.95,17,851.5,2.0,0.617,0,117.8,21.8,104,911,905
sk72775,2025-05-26,924,5.43,22,870.3,2.33,0.628,0,75.9,16.8,121,904,905
sk72775,2025-06-23,902,5.74,23,879.1,2.67,0.619,0,21.9,9.0,151,905,942
shreeswa,2022-01-12,1001,0.15,13,925.0,1.0,0.707,0,108.2,200.2,16,1029,1029
